park,loop,station,code,latitude,longitude,near_phase_0,near_phase_1,near_phase_2,near_phase_3,near_phase_4
Magnuson Park,Back Fence Loop,1,MB1,47.6832,-122.2499,y,n,n,y,n
Magnuson Park,Back Fence Loop,2,MB2,47.6824,-122.2522,y,n,n,y,n
Magnuson Park,Back Fence Loop,3,MB3,47.6831,-122.2556,y,y,n,y,n
Magnuson Park,Back Fence Loop,4,MB4,47.6806,-122.2554,y,n,n,n,n
Magnuson Park,Back Fence Loop,5,MB5,47.679,-122.258,n,n,y,n,n
Magnuson Park,Back Fence Loop,6,MB6,47.6797,-122.2547,y,n,y,y,n
Discovery Park,Beaches,1,DB1,47.659369,-122.428606,y,n,n,y,n
Discovery Park,Beaches,2,DB2,47.660092,-122.430425,n,n,n,y,n
Discovery Park,Beaches,3,DB3,47.661964,-122.435842,n,n,n,n,n
Discovery Park,Beaches,4,DB4,47.662547,-122.431739,n,n,n,n,n
Discovery Park,Beaches,5,DB5,47.662683,-122.430917,n,n,n,n,n
Discovery Park,Beaches,6,DB6,47.664156,-122.427533,n,n,n,n,n
Discovery Park,Beaches,7,DB7,47.666128,-122.423944,n,n,n,n,n
Discovery Park,Capehart ,1,DCH1,47.660933,-122.42085,n,n,n,y,y
Discovery Park,Capehart ,2,DCH2,47.660017,-122.42105,n,n,n,y,n
Discovery Park,Capehart ,3,DCH3,47.65995,-122.423117,n,n,n,y,n
Discovery Park,Capehart ,4,DCH4,47.661267,-122.423133,n,n,n,y,n
Discovery Park,Capehart ,5,DCH5,47.660533,-122.422233,n,n,n,y,n
Discovery Park,Cemetery,1,DCM1,47.659683,-122.405233,n,n,n,y,n
Discovery Park,Cemetery,2,DCM2,47.660633,-122.40555,n,n,n,n,n
Discovery Park,Cemetery,3,DCM3,47.661283,-122.4065,n,n,n,y,n
Discovery Park,Cemetery,4,DCM4,47.661267,-122.40655,n,n,n,y,n
Discovery Park,Cemetery,5,DCM5,47.664533,-122.409,y,n,n,y,n
Discovery Park,Cemetery,6,DCM6,47.663617,-122.408517,n,n,n,y,n
Discovery Park,Cemetery,7,DCM7,47.664533,-122.409,y,n,n,y,n
Discovery Park,Cemetery,8,DCM8,47.664517,-122.409017,y,n,n,y,n
Discovery Park,Daybreak Star,1,DD1,47.665433,-122.410333,y,y,y,y,y
Discovery Park,Daybreak Star,2,DD2,47.66765,-122.41295,y,n,y,y,n
Discovery Park,Daybreak Star,3,DD3,47.668217,-122.415283,n,y,n,y,n
Discovery Park,Daybreak Star,4,DD4,47.666603,-122.41735,y,n,n,y,n
Discovery Park,Daybreak Star,5,DD5,47.66505,-122.41955,n,n,n,y,y
Discovery Park,Daybreak Star,6,DD6,47.663617,-122.42095,y,n,y,y,n
Discovery Park,Daybreak Star,7,DD7,47.661283,-122.4185,n,y,y,n,n
Discovery Park,Daybreak Star,8,DD8,47.664283,-122.417383,n,n,n,y,y
Seward Park,East Loop,1,SE1,47.552617,-122.2517,n,n,n,y,y
Seward Park,East Loop,2,SE2,47.55533,-122.24995,n,n,n,y,n
Seward Park,East Loop,3,SE3,47.557267,-122.251,n,n,n,y,y
Seward Park,East Loop,4,SE4,47.559517,-122.250133,n,n,n,y,y
Seward Park,East Loop,5,SE5,47.561567,-122.253267,n,n,n,y,y
Seward Park,East Loop,6,SE6,47.557393,-122.247784,n,y,n,y,n
Seward Park,East Loop,7,SE7,47.549367,-122.252917,n,n,n,n,y
Seward Park,East Loop,8,SE8,47.550133,-122.25475,y,n,n,y,n
Discovery Park,Eastern Edge,1,DE1,47.6578,-122.4045,y,n,y,y,n
Discovery Park,Eastern Edge,2,DE2,47.657,-122.404,n,n,n,y,y
Discovery Park,Eastern Edge,3,DE3,47.6562,-122.4041,n,n,y,y,y
Discovery Park,Eastern Edge,4,DE4,47.6551,-122.4039,n,n,y,y,y
Discovery Park,Eastern Edge,5,DE5,47.6542,-122.4045,n,n,n,y,y
Discovery Park,Eastern Edge,6,DE6,47.6541,-122.4068,y,n,n,y,n
Discovery Park,Eastern Edge,7,DE7,47.6545,-122.4083,n,n,y,y,n
Discovery Park,Eastern Edge,8,DE8,47.6555,-122.4091,n,n,n,y,n
Discovery Park,Eastern Edge,9,DE9,47.6545,-122.4115,y,n,n,y,n
Discovery Park,Hidden Valley Trail,1,DH1,47.6621,-122.4226,n,n,y,y,y
Discovery Park,Hidden Valley Trail,2,DH2,47.663467,-122.421883,y,n,y,y,y
Discovery Park,Hidden Valley Trail,3,DH3,47.66605,-122.421233,n,y,n,y,n
Discovery Park,Hidden Valley Trail,4,DH4,47.664417,-122.4224,y,n,n,y,n
Discovery Park,Hidden Valley Trail,5,DH5,47.663233,-122.425117,n,n,n,y,y
Discovery Park,Hidden Valley Trail,6,DH6,47.660883,-122.42675,n,n,n,n,y
Discovery Park,Hidden Valley Trail,7,DH7,47.661633,-122.4275,n,n,n,n,y
Discovery Park,Hidden Valley Trail,8,DH8,47.6609,-122.428317,n,n,n,n,y
Washington Park Arboretum,Main Loop,1,AM1,47.6379,-122.2933,n,n,n,n,n
Washington Park Arboretum,Main Loop,2,AM2,47.6362,-122.2941,n,n,n,n,n
Washington Park Arboretum,Main Loop,3,AM3,47.633,-122.2939,n,n,n,n,n
Washington Park Arboretum,Main Loop,4,AM4,47.6318,-122.2932,n,n,n,n,n
Washington Park Arboretum,Main Loop,5,AM5,47.6302,-122.2951,n,n,n,n,n
Washington Park Arboretum,Main Loop,6,AM6,47.6316,-122.2951,n,n,n,n,n
Washington Park Arboretum,Main Loop,7,AM7,47.6333,-122.2957,n,n,n,n,n
Washington Park Arboretum,Main Loop,8,AM8,47.6349,-122.2963,n,n,n,n,n
Washington Park Arboretum,Main Loop,9,AM9,47.6365,-122.2962,n,n,n,n,n
Washington Park Arboretum,Main Loop,10,AM10,47.6381,-122.2959,n,n,n,n,n
Genesee Park,Main Loop,1,GEM1,47.56955,-122.278333,n,n,n,n,n
Genesee Park,Main Loop,2,GEM2,47.56885,-122.27805,n,y,n,n,n
Genesee Park,Main Loop,3,GEM3,47.567533,-122.278567,y,n,n,y,n
