code,prop_0,prop_1,prop_2,prop_3,prop_4,prop_gsp,prop_na
CGN1,0,0.110063624,0,0.068872669,0,0.178936293,0.821063707
CGN2,0.140427409,0.215096512,0,0.535949789,0,0.891473711,0.108526289
CGN3,0.400840145,0.057427989,0,0.321580957,0,0.779849091,0.220150909
CGN4,0.515209937,0,0,0.005821537,0,0.521031474,0.478968526
CGN5,0.180292313,0.202121423,0,0.144633893,0,0.527047629,0.472952371
CGN6,0.581936046,0.03329996,0,0.342158813,0,0.957394819,0.042605181
CGN7,0.289537612,0.039360723,0,0.668471857,0,0.997370192,0.002629808
CGS1,0,0,0,0.580868949,0,0.580868949,0.419131051
CGS2,0,0,0.105902881,0.737078112,0,0.842980993,0.157019007
CGS3,0,0,0.334910129,0.662460273,0,0.997370402,0.002629598
CGS4,0.000871112,0,0.176201448,0.621106617,0,0.798179177,0.201820823
CGS5,0.043232842,0,0.282939697,0.548892201,0,0.875064739,0.124935261
CGS6,0,0,0,0.997370268,0,0.997370268,0.002629732
CGS7,0.002352883,0,0.107948061,0.798144422,0,0.908445366,0.091554634
CP1,0.009126827,0,0.083484229,0.904759185,0,0.99737024,0.00262976
CP2,0,0,0,0.279579066,0.369032162,0.648611228,0.351388772
CP3,0.389629314,0,0.102975019,0.234801424,0.250556438,0.977962195,0.022037805
CP4,0.395279956,0,0.144647862,0.453955372,0,0.99388319,0.00611681
CP5,0.715239156,0,0,0.164181066,0,0.879420222,0.120579778
CP6,0,0,0,0.869042368,0,0.869042368,0.130957632
CP7,0,0,0,0.06492099,0,0.06492099,0.93507901
CV1,0,0,0,0.223010681,0.002494018,0.225504699,0.774495301
CV2,0,0,0,0.180334279,0.398093162,0.578427441,0.421572559
CV3,0,0,0,0.116238798,0.881131796,0.997370595,0.002629405
CV4,0,0,0,0.238621248,0.544404978,0.783026226,0.216973774
CV5,0,0,0,0,0.997370611,0.997370611,0.002629389
CV6,0.049605266,0,0,0.050148423,0,0.099753689,0.900246311
CV7,0,0.649704542,0,0.04031274,0,0.690017282,0.309982718
CV8,5.53555E-05,0,0,0.864012236,0,0.864067591,0.135932409
CV9,0,0.196608129,0,0.626712414,0.003857415,0.827177958,0.172822042
DB1,0.144371423,0,0,0.364143462,0,0.508514886,0.491485114
DB2,0,0,0,0.172395087,0,0.172395087,0.827604913
DCH1,0,0,0,0.748526891,0.239419934,0.987946825,0.012053175
DCH2,0,0,0,0.997370561,0,0.997370561,0.002629439
DCH3,0,0,0,0.997370443,0,0.997370443,0.002629557
DCH4,0,0,0,0.977911875,0.019458651,0.997370526,0.002629474
DCH5,0,0,0,0.997370405,0,0.997370405,0.002629595
DCM1,0,0,0,0.026619254,0,0.026619254,0.973380746
DCM3,0,0,0,0.996354593,0,0.996354593,0.003645407
DCM4,0,0,0,0.997370492,0,0.997370492,0.002629508
DCM5,0.186633428,0,0,0.334165256,0,0.520798685,0.479201315
DCM6,0,0,0,0.295624354,0,0.295624354,0.704375646
DCM7,0.186633428,0,0,0.334165256,0,0.520798685,0.479201315
DCM8,0.181237055,0,0,0.359158384,0,0.540395439,0.459604561
DD1,0.036609225,0.04878039,0.152878068,0.195582607,0.262231407,0.696081697,0.303918303
DD2,0.045086312,0,0.075442301,0.774520254,0,0.895048868,0.104951132
DD3,0.000554108,0.032052355,0,0.306953661,0,0.339560124,0.660439876
DD4,0.099572444,0,0,0.618723294,0,0.718295738,0.281704262
DD5,0,0,0,0.792736208,0.08837516,0.881111368,0.118888632
DD6,0.342738242,0,0.032744495,0.398715691,0,0.774198428,0.225801572
DD7,0,0.157762276,0.285573365,0,0,0.443335642,0.556664358
DD8,0,0,0,0.463375179,0.43721219,0.900587369,0.099412631
DE1,0.016070311,0,0.282002197,0.266669043,0,0.564741551,0.435258449
DE2,0,0,0,0.060307672,0.461115543,0.521423215,0.478576785
DE3,0,0,0.109749965,0.587242019,0.009328815,0.706320798,0.293679202
DE4,0,0,0.049267603,0.20581479,0.334366729,0.589449122,0.410550878
DE5,0,0,0,0.480814528,0.064076272,0.5448908,0.4551092
DE6,0.176153344,0,0,0.219323105,0,0.395476449,0.604523551
DE7,0,0,0.08502137,0.742523008,0,0.827544378,0.172455622
DE8,0,0.02358103,0,0.89573703,0,0.91931806,0.08068194
DE9,0.093786344,0,0,0.689013056,0,0.7827994,0.2172006
DH1,0,0,0.089436976,0.322023142,0.448766031,0.860226149,0.139773851
DH2,0.345274127,0.003421863,0.12517382,0.392376592,0.131123909,0.997370311,0.002629689
DH3,0,0.051540257,0,0.911960908,0.033869627,0.997370793,0.002629207
DH4,0.174139068,0,0,0.823231264,0,0.997370332,0.002629668
DH5,0,0,0,0.185761321,0.776799729,0.96256105,0.03743895
DH6,0,0,0,0,0.9973705,0.9973705,0.0026295
DH7,0,0,0,0,0.913514979,0.913514979,0.086485021
DH8,0,0,0,0.010283817,0.429039536,0.439323352,0.560676648
DNB1,0,0,0,0.997370612,0,0.997370612,0.002629388
DNB2,0,0,0,0.997370614,0,0.997370614,0.002629386
DNB3,0,0.039083112,0,0.799476695,0,0.838559807,0.161440193
DNB4,0,0.506909774,0,0.490460858,0,0.997370632,0.002629368
DNB5,0,0,0,0.033502266,0,0.033502266,0.966497734
DNI1,0,0,0.029006714,0.745907754,0,0.774914468,0.225085532
DNI2,0,0,0,0.878813206,0,0.878813206,0.121186794
DNI3,0,0.132308904,0,0.316588625,0,0.448897529,0.551102471
DNI4,0,0,0,0.61012827,0,0.61012827,0.38987173
DNL1,0,0,0.066241534,0.006938199,0.611528675,0.684708408,0.315291592
DNL2,0,0,0,0.997370592,0,0.997370592,0.002629408
DNL3,0,0,0.271588911,0.661059779,0,0.93264869,0.06735131
DNL4,0,0,0.385046645,0.35860756,0.253716202,0.997370406,0.002629594
DNL5,0,0,0,0,0.99737043,0.99737043,0.00262957
DNL6,0,0.180495659,0,0.348090874,0.365149946,0.893736479,0.106263521
DNL7,0,0,0,0.289418523,0,0.289418523,0.710581477
DNL8,0,0,0,0,0.997370489,0.997370489,0.002629511
DNL9,0,0,0.329293385,0.160803862,0.151239403,0.64133665,0.35866335
DSB1,0,0,0,0.534876441,0.280375815,0.815252256,0.184747744
DSB2,0,0,0,0.86301105,0.082033439,0.94504449,0.05495551
DSB3,0.422372751,0,0,0.472411275,0,0.894784026,0.105215974
DSB4,0.888728175,0,0,0.108642313,0,0.997370487,0.002629513
DSB5,0,0,0,0.654729279,0.218615205,0.873344484,0.126655516
DSB6,0.074072319,0,0,0.748144632,0,0.822216951,0.177783049
DSB7,0,0,0,0.791601767,0,0.791601767,0.208398233
DSL1,0,0,0.186380349,0.095421303,0,0.281801652,0.718198348
DSL10,0,0,0,0,0.911576452,0.911576452,0.088423548
DSL2,0.101913859,0,0,0,0.391820513,0.493734372,0.506265628
DSL3,0.175889365,0,0.110255098,0.627366955,0,0.913511418,0.086488582
DSL4,0,0.36011442,0,0.199591515,0.334795388,0.894501323,0.105498677
DSL5,0,0,0,0.932076124,0,0.932076124,0.067923876
DSL6,0,0,0,0.844428685,0,0.844428685,0.155571315
DSL8,0,0,0,0.232952765,0.296605169,0.529557934,0.470442066
DSL9,0,0,0,0.759805484,0.190123306,0.949928791,0.050071209
DSM1,0,0,0.069451179,0.423722417,0,0.493173596,0.506826404
DSM2,0,0,0,0.28878375,0,0.28878375,0.71121625
DSM3,0,0,0,0.165706564,0,0.165706564,0.834293436
DSM4,0.127417918,0.310598044,0,0.467669782,0,0.905685744,0.094314256
DSM5,0.705751666,0,0,0.157571186,0,0.863322852,0.136677148
DSM6,1.36428E-05,0,0,0.940048339,0,0.940061982,0.059938018
DSM7,0.09838136,0.022731128,0.046326541,0.318257224,0,0.485696254,0.514303746
DSM8,0.095129098,0.061623102,0,0.329228241,0,0.485980441,0.514019559
