UniqueStationID,Park,Loop,Station,Latitude,Longitude,Canopy.m2.2021,CanopyProp2021,Canopy.m2.2016,CanopyProp2016,DeltaCanopy,mDowntown,mMajorWater
9,Carkeek,Piper's Creek,CP1,47.71,-122.3694,7106.35646,0.904809595,7837.522106,0.997904515,-0.093290409,10185.10303,785.61
10,Carkeek,Piper's Creek,CP2,47.7101,-122.3671,5723.817482,0.728779228,6330.790755,0.806061482,-0.095876376,10186.31998,925.85
11,Carkeek,Piper's Creek,CP3,47.7084,-122.3655,6007.398456,0.764885887,7853.950218,0.999996208,-0.235111213,9992.296406,1092.44
12,Carkeek,Piper's Creek,CP4,47.7057,-122.3644,6153.567479,0.783496709,7851.276012,0.999655717,-0.216233454,9689.472962,1237.68
13,Carkeek,Piper's Creek,CP5,47.7039,-122.3634,6922.877068,0.881448268,7268.598777,0.925466932,-0.047563735,9487.414846,1377.96
18,Carkeek,Venema,CV1,47.711767,-122.369283,2792.103928,0.355501787,2806.593236,0.357346624,-0.005162596,10380.54467,691.09
19,Carkeek,Venema,CV2,47.711117,-122.371683,6035.992529,0.768526598,6582.560213,0.838117771,-0.08303269,10321.53858,575
20,Carkeek,Venema,CV3,47.71285,-122.370683,6676.536236,0.850083173,7799.694999,0.993088218,-0.144000344,10507.88436,545.62
21,Carkeek,Venema,CV4,47.712117,-122.374283,7078.900588,0.901313804,7600.155929,0.967682109,-0.068584822,10449.89967,350.48
22,Carkeek,Venema,CV5,47.71355,-122.375967,7464.268629,0.950380397,7853.950218,0.999996208,-0.049615999,10621.57395,160.06
23,Carkeek,Venema,CV6,47.713017,-122.378433,1404.198719,0.178788171,1060.770444,0.135061516,0.323753624,10584.62215,34.35
24,Carkeek,Venema,CV7,47.712,-122.379083,6080.934712,0.774248816,6029.541252,0.767705196,0.00852361,10478.91254,51.65
25,Carkeek,Venema,CV8,47.710483,-122.37925,6555.778421,0.834707807,7329.005376,0.933158141,-0.105502304,10313.52175,59.21
26,Carkeek,Venema,CV9,47.711283,-122.37635,6417.427589,0.817092428,7223.494604,0.919724089,-0.11158962,10374.38205,270.39
29,Cheasty Greenspace,North,CGN1,47.564201,-122.298681,4580.405484,0.583195461,4677.282902,0.595530279,-0.020712328,3652.832798,1597.57
31,Cheasty Greenspace,North,CGN3,47.565214,-122.299686,6692.80335,0.852154366,7055.916668,0.8983874,-0.051462246,3524.464177,1613.84
32,Cheasty Greenspace,North,CGN4,47.566112,-122.299702,5341.516357,0.680103127,5313.063947,0.676480453,0.005355179,3427.652909,1576.03
33,Cheasty Greenspace,North,CGN5,47.568122,-122.29927,5508.488829,0.701362727,6158.294095,0.78409852,-0.105517089,3221.54206,1477.77
34,Cheasty Greenspace,North,CGN6,47.563659,-122.301133,6389.407541,0.813524804,7797.675474,0.992831084,-0.180600993,3667.204339,1788.3
39,Cheasty Greenspace,South,CGS4,47.561931,-122.298734,6870.208363,0.874742279,7790.011554,0.991855283,-0.118074689,3895.786955,1731.85
40,Cheasty Greenspace,South,CGS5,47.562576,-122.299779,6524.312687,0.830701464,6939.858894,0.883610462,-0.059878193,3807.305228,1759.05
41,Cheasty Greenspace,South,CGS6,47.561555,-122.30049,6725.418657,0.856307077,7808.604769,0.994222645,-0.138716985,3906.065933,1864.84
44,Discovery,Beaches,DB1,47.659369,-122.428606,2999.225262,0.3818733,3342.872051,0.425627777,-0.102799863,6837.656975,6.5
46,Discovery,Beaches,DB3,47.661964,-122.435842,,,,,,7437.236889,0.4
48,Discovery,Beaches,DB5,47.662683,-122.430917,3006.199013,0.382761226,3184.892017,0.405513131,-0.056106456,7213.623447,16.93
49,Discovery,Beaches,DB6,47.664156,-122.427533,989.714834,0.126014433,1008.375891,0.128390433,-0.018506052,7144.319851,0.96
50,Discovery,Beaches,DB7,47.666128,-122.423944,2399.442618,0.305506586,2987.623791,0.380396155,-0.19687257,7118.010573,2.63
52,Discovery,Capehart,DCH1,47.660933,-122.42085,3273.364634,0.416777816,1170.17638,0.148991515,1.797325848,6537.113632,502.72
53,Discovery,Capehart,DCH2,47.660017,-122.42105,4434.680018,0.564641114,877.511553,0.111728264,4.053699866,6474.685758,428.67
55,Discovery,Capehart,DCH4,47.661267,-122.423133,2844.87263,0.362220509,456.977913,0.058184247,5.2254051,6683.544659,405.8
56,Discovery,Capehart,DCH5,47.660533,-122.422233,3055.370582,0.389021946,320.438598,0.040799518,8.534964268,6578.063622,393.07
58,Discovery,Cemetery,DCM1,47.659683,-122.405233,5619.147699,0.715452255,5860.062043,0.746126428,-0.041111228,5672.529419,734.49
59,Discovery,Cemetery,DCM2,47.660633,-122.40555,3836.310566,0.488454333,4083.720643,0.519955569,-0.060584476,5771.850519,630.21
60,Discovery,Cemetery,DCM3,47.661283,-122.4065,7238.84571,0.921678653,7853.801101,0.999977222,-0.078300352,5872.259969,568.5
63,Discovery,Cemetery,DCM6,47.663617,-122.408517,4428.876788,0.563902224,4885.130861,0.621994309,-0.093396489,6171.200109,350.2
64,Discovery,Cemetery,DCM7,47.664533,-122.409,5104.435825,0.64991709,4899.131871,0.623776973,0.041906191,6275.163723,279.29
67,Discovery,Daybreak Star,DD2,47.66765,-122.41295,7009.093487,0.892425686,7686.537141,0.978680509,-0.08813379,6729.675916,347.56
68,Discovery,Daybreak Star,DD3,47.668217,-122.415283,5106.170575,0.650137965,6202.04955,0.789669639,-0.176696262,6884.230232,237.98
69,Discovery,Daybreak Star,DD4,47.666603,-122.41735,5580.400841,0.71051885,5314.016016,0.676601674,0.050128721,6837.252682,316.14
